Results of:	findByDate 6
- - - - - - - - - - - - - - - - - - - -

  41503714	MISS KOREA          	10 WEST 32 STREET   	Korean              	01/04/2016	 19
  41503714	MISS KOREA          	10 WEST 32 STREET   	Korean              	01/04/2016	 19
  41503714	MISS KOREA          	10 WEST 32 STREET   	Korean              	01/04/2016	 19
  41505368	KING FOOD           	489 AMSTERDAM AVENUE	Chinese             	01/04/2016	 16
  41505368	KING FOOD           	489 AMSTERDAM AVENUE	Chinese             	01/04/2016	 16
  41512397	TWO GRANDPA'S PIZZA 	1839 GRAND CONCOURSE	Pizza/Italian       	01/04/2016	 29
  41512397	TWO GRANDPA'S PIZZA 	1839 GRAND CONCOURSE	Pizza/Italian       	01/04/2016	 29
  41512397	TWO GRANDPA'S PIZZA 	1839 GRAND CONCOURSE	Pizza/Italian       	01/04/2016	 29
  41512397	TWO GRANDPA'S PIZZA 	1839 GRAND CONCOURSE	Pizza/Italian       	01/04/2016	 29
  41512397	TWO GRANDPA'S PIZZA 	1839 GRAND CONCOURSE	Pizza/Italian       	01/04/2016	 29
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41525492	LA PENDA RESTAURANT 	2233 GRAND CONCOURSE	Latin (Cuban, Domini	01/04/2016	 32
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
  41534543	VILLAGE CROWN       	36 BATTERY PLACE    	Jewish/Kosher       	01/04/2016	 68
